web-scraper-order,web-scraper-start-url,topics,topics-href,course,course-href,course_institution,course_name,course_description,estimated_weeks,estimated_hours_per_week,study_mode,course_language,course_transcript_language,course_level,verified_price,audit_price
"1633027354-3488","https://www.edx.org/learn","Cryptography","https://www.edx.org/learn/cryptography","Cybersecurity Basics…Schools and Partners: IBM…Course","https://www.edx.org/course/cybersecurity-basics","IBM Logo","Cybersecurity Basics","This course gives you the background needed to understand the basics of Cybersecurity. You will explore information security from its history to a description of various cybercriminals and cybersecurity threats concluding with the tools needed to prevent an attack.","Estimated 4 weeks","4–8 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$3,052","Free"
"1633028076-3713","https://www.edx.org/learn","Object Oriented Programming","https://www.edx.org/learn/object-oriented-programming","Introduction to Java
Programming – Part 2…Schools and Partners: HKUSTx…Course","https://www.edx.org/course/introduction-to-java-programming-part-2","The Hong Kong University of Science and Technology Logo","Introduction to Java Programming – Part 2","The first MOOC to teach the fundamental elements of Java programming and data abstraction.","Estimated 5 weeks","3–5 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$2,028","Free"
"1633023235-1967","https://www.edx.org/learn","Women's Rights","https://www.edx.org/learn/womens-rights","International Women's
Health and Human Rights…Schools and Partners: StanfordOnline…Course","https://www.edx.org/course/international-womens-health-and-human-rights","Stanford University Logo","International Women's Health and Human Rights","This self-paced course provides an overview of women's health and human rights, beginning in infancy and childhood, then moving through adolescence, reproductive years and aging. We consider economic, social, political and human rights factors, and the challenges women face in maintaining health and managing their lives in the face of societal pressures and obstacles.","Estimated 10 weeks","1–5 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$1,024","Free"
"1633027066-3389","https://www.edx.org/learn","K12","https://www.edx.org/learn/k12","Coding for Your
Classroom 4 - 10…Schools and Partners: UBCx…Course","https://www.edx.org/course/coding-for-your-classroom-4-10","University of British Columbia Logo","Coding for Your Classroom 4 - 10","Self-paced, asynchronous course aimed to build educators’ comfortability and confidence in digital literacy. Through hands-on learning activities and demos in a variety of web-based platforms, educators will have the resources and skills they need to introduce coding concepts to their students in the 4-9 classroom.","Estimated 4 weeks","1–2 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","MX$307","Free"
"1633027921-3666","https://www.edx.org/learn","Business Intelligence","https://www.edx.org/learn/business-intelligence","Marketing-Analytics…Schools and Partners: BerkeleyX…XSeries Program 4 Courses","https://www.edx.org/xseries/marketing-analytics","null","null","null","null","null","null","null","null","The BLS forecasts a 30% growth rate for Operations Research Analysts through 2024.","null","null"
"1633027390-3501","https://www.edx.org/learn","Corporate Finance","https://www.edx.org/learn/corporate-finance","Discounted Cash Flow
(DCF) and Other
Valuation Methodologies…Schools and Partners: NYIF…Course","https://www.edx.org/course/discounted-cash-flow-dcf-and-other-valuation-methodologies","New York Institute of Finance Logo","Discounted Cash Flow (DCF) and Other Valuation Methodologies","Learn about Discounted Cash Flow (DCF) and Other Valuation Methodologies.","Estimated 4 weeks","1–2 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Introductory","null","null"
"1633025925-2973","https://www.edx.org/learn","Sustainable Development","https://www.edx.org/learn/sustainable-development","From the Ground Up:
Managing and Preserving
Our Terrestrial Ecosyste……Schools and Partners: SDGAcademyX…Course","https://www.edx.org/course/from-the-ground-up-managing-and-preserving-our-ter","SDG Academy Logo","From the Ground Up: Managing and Preserving Our Terrestrial Ecosystems","How can we preserve, restore, manage and sustainably use terrestrial ecosystems? Join us as we explore this question in the Brazilian Amazon and around the world.","Estimated 9 weeks","2–4 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Intermediate","MX$1,004","Free"
"1633028909-3947","https://www.edx.org/learn","Localization","https://www.edx.org/learn/localization","Introduction to
Internationalization and
Localization…Schools and Partners: UWashingtonX…Course","https://www.edx.org/course/introduction-to-internationalization-and-localizat","University of Washington Logo","Introduction to Internationalization and Localization","The first MOOC to teach internationalization and localization end to end. Learn how a digital product needs to be designed to be world-ready and how it is getting adapted to the needs of all its international target markets. This introductory course covers all the basics!","Estimated 6 weeks","2–5 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Advanced","MX$4,076","Free"
"1633024063-2305","https://www.edx.org/learn","Quantum Computing","https://www.edx.org/learn/quantum-computing","Fundamentals of
Quantum Information…Schools and Partners: DelftX…Course","https://www.edx.org/course/fundamentals-of-quantum-information","Delft University of Technology Logo","Fundamentals of Quantum Information","Learn how quantum information is represented mathematically via quantum circuits and how to manipulate quantum entanglement with these circuits.","Estimated 4 weeks","6–8 hours per week","Self-paced","Language:","Video Transcript:  English","Level:  Advanced","MX$3,052","Free"
"1633024953-2649","https://www.edx.org/learn","Healthcare","https://www.edx.org/learn/healthcare","Product Design & Health…Schools and Partners: DelftX…Professional Certificate 2 Courses","https://www.edx.org/professional-certificate/product-design-health","null","null","null","null","null","null","null","null","Estimated annual salary of senior industrial designers amounts to $90,709 per year. (indeed.com)","null","null"
