web-scraper-order,web-scraper-start-url,pagination,course_link,course_link-href,course_institution,course_category,course_name,course_description,estimated_weeks,estimated_hours_per_week,study_mode,course_language,video_transcript_language,course_level,verified_price,audit_price
"1632951826-1123","https://www.edx.org/search?tab=course","","CS50's Introduction to
Game Development…Schools and Partners: HarvardX…Course","https://www.edx.org/course/cs50s-introduction-to-game-development?index=product&queryID=588dbeb1008274c93ff2af0c6813ab19&position=9","Harvard University Logo","Computer Science Courses","CS50's Introduction to Game Development","Learn about the development of 2D and 3D interactive games in this hands-on course, as you explore the design of games such as Super Mario Bros., Pokémon, Angry Birds, and more.","Estimated 12 weeks","6–9 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Intermediate","null","null"
"1632950713-641","https://www.edx.org/search?tab=course","","US-China Relations: Past,
Present and Future…Schools and Partners: NUS…Course","https://www.edx.org/course/us-china-relations-past-present-and-future?index=product&queryID=f605d905a6fdeccde1e0ee2a9cc87338&position=11","The National University of Singapore Logo","Social Sciences Courses","US-China Relations: Past, Present and Future","This course will provide an overview of the economic, military, political and cultural dimensions of the rising United States-China geopolitical contest. It will examine the strategic perspectives and mistakes of both countries, and suggest what can be done to prevent further escalation of the contest.","Estimated 4 weeks","2–3 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$3,656","Free"
"1632950058-359","https://www.edx.org/search?tab=course","","Implant Dentistry…Schools and Partners: HKUx…Course","https://www.edx.org/course/implant-dentistry?index=product&queryID=74dc1a7992a6e16d0ec5229bdc3c6d68&position=5","University of Hong Kong Logo","Medicine Courses","Implant Dentistry","Learn Implant Dentistry from world-class specialists and researchers! Join the state of art in the biology, the technology and clinical management in implant dentistry today!","Estimated 5 weeks","2–5 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$3,044","Free"
"1632951747-1088","https://www.edx.org/search?tab=course","","Inglés para todos: nivel
básico…Schools and Partners: URosarioX…Course","https://www.edx.org/course/ingles-para-todos-nivel-basico?index=product&queryID=6789946f99b7b8efc6056c71dcc1512c&position=20","Universidad del Rosario Logo","Language Courses","Inglés para todos: nivel básico","Este curso te proporciona herramientas para que inicies tu aprendizaje de inglés desde las expresiones y estructuras más básicas.","Estimated 4 weeks","4–6 hours per week","Self-paced","Language:  Español","Video Transcript:  English","Level:  Introductory","MX$1,000","Free"
"1632950501-549","https://www.edx.org/search?tab=course","","Advanced Cardiac
Imaging: Cardiac
Magnetic Resonance (C……Schools and Partners: HKUx…Course","https://www.edx.org/course/advanced-cardiac-imaging-cardiac-magnetic-resonance-cmr?index=product&queryID=d27404c1b23a616b842bdc2423a089c9&position=7","University of Hong Kong Logo","Medicine Courses","Advanced Cardiac Imaging: Cardiac Magnetic Resonance (CMR)","​First ever cardiac magnetic resonance (CMR) MOOC! Learn the CMR essentials through short videos, downloadable cases, and web forums. Available in multiple languages, qualified learners can also obtain SCMR level 1 certification.","Estimated 5 weeks","2–3 hours per week","Self-paced","Language:  English","Video Transcripts:  English, 中文, 中文","Level:  Introductory","MX$3,044","Free"
"1632949990-330","https://www.edx.org/search?tab=course","","A-level Mathematics for
Year 13 - Course 1:
Functions, Sequences a……Schools and Partners: ImperialX…Course","https://www.edx.org/course/a-level-mathematics-for-year-13-course-1-functions?index=product&queryID=0943cf96cbee1f81beaaf29e25ea0e4b&position=10","Imperial College London Logo","Math Courses","A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods","null","Estimated 7 weeks","2–4 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Intermediate","MX$1,001","Free"
"1632951894-1153","https://www.edx.org/search?tab=course","","Remote Work Revolution
for Everyone…Schools and Partners: HarvardX…Course","https://www.edx.org/course/remote-work?index=product&queryID=dd537f4c87acfabd810a49df3db15962&position=3","Harvard University Logo","Business & Management Courses","Remote Work Revolution for Everyone","In Remote Work Revolution for Everyone, you will learn to excel in the virtual-work landscape. You will learn how to build trust, increase productivity, use digital tools intelligently, and remain fully aligned with your remote team.","Estimated 3 weeks","2–3 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$2,022","Free"
"1632950540-566","https://www.edx.org/search?tab=course","","Space Mission Design
and Operations…Schools and Partners: EPFLx…Course","https://www.edx.org/course/space-mission-design-and-operations?index=product&queryID=6197237499a5d38533d2b0eb2d2fd0e7&position=14","École polytechnique fédérale de Lausanne Logo","Engineering Courses","Space Mission Design and Operations","Learn the concepts used in the design of space missions, manned or unmanned, and operations, based on the professional experience of the lecturer.","Estimated 8 weeks","2–4 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Intermediate","MX$1,021","Free"
"1632950936-736","https://www.edx.org/search?tab=course","","What do Architects and
Urban Planners do?…Schools and Partners: WitsX…Course","https://www.edx.org/course/what-do-architects-and-urban-planners-do?index=product&queryID=9d6f43901d10d9011233987fa9782d9b&position=12","Wits University Logo","Architecture Courses","What do Architects and Urban Planners do?","Discover how spatial design professionals make a difference in society","Estimated 3 weeks","2–3 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$1,001","Free"
"1632951048-784","https://www.edx.org/search?tab=course","","Marketing Essentials…Schools and Partners: IIMBx…Course","https://www.edx.org/course/introduction-to-marketing-essentials?index=product&queryID=564ff1b0803659747437d39c3c316bf6&position=12","Indian Institute of Management Bangalore Logo","Business & Management Courses","Marketing Essentials","Identify, understand and learn the basics of marketing management theories with real-world business scenarios.","Estimated 5 weeks","2–4 hours per week","Self-paced","Video Transcripts:  English, हिन्दी","Associated programs:Professional Certificate in Customer Relationship Management for MarketersProfessional Certificate in Brand and Marketing Research StrategyProfessional Certificate in Services Marketing Fundamentals","Level:  Introductory","MX$3,044","Free"
"1632949800-249","https://www.edx.org/search?tab=course","","Natural Resources for
Sustainable Development…Schools and Partners: SDGAcademyX…Course","https://www.edx.org/course/natural-resources-for-sustainable-development?index=product&queryID=192a412946850a3d631c8306167183f8&position=19","SDG Academy Logo","Energy & Earth Sciences Courses","Natural Resources for Sustainable Development","Explore the sustainable development opportunities and challenges in using oil, gas and minerals.","Estimated 12 weeks","4–6 hours per week","Self-paced","Language:  English","Video Transcripts:  اللغة العربية, English, Español, Français, Русский","Level:  Intermediate","MX$1,001","Free"
"1632951298-893","https://www.edx.org/search?tab=course","","Información financiera y
su análisis…Schools and Partners: TecdeMonterreyX…Course","https://www.edx.org/course/informacion-financiera-y-su-analisis?index=product&queryID=cbfdc94dedf4e82896a822d2fa1e50ca&position=23","Tecnológico de Monterrey Logo","Economics & Finance Courses","Información financiera y su análisis","Aplica fundamentos contables y financieros para evaluar la situación financiera de la empresa e informar el proceso de toma de decisiones.","Estimated 4 weeks","5–8 hours per week","Self-paced","Language:  Español","Video Transcript:  Español","Level:  Advanced","MX$1,021","Free"
"1632951391-934","https://www.edx.org/search?tab=course","","Data Science: Linear
Regression…Schools and Partners: HarvardX…Course","https://www.edx.org/course/data-science-linear-regression?index=product&queryID=d184b84006430da4466eda0004fec3a8&position=6","Harvard University Logo","Data Analysis & Statistics Courses","Data Science: Linear Regression","Learn how to use R to implement linear regression, one of the most common statistical modeling approaches in data science.","Estimated 8 weeks","1–2 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$2,022","Free"
"1632950326-474","https://www.edx.org/search?tab=course","","Noongar Language and
Culture…Schools and Partners: CurtinX…Course","https://www.edx.org/course/noongar-language-and-culture?index=product&queryID=0e3e294cbdeb6a13dd2e2a38cf0b604b&position=10","Curtin University Logo","Language Courses","Noongar Language and Culture","Learn about the Noongar people of Western Australia, their culture and their language.","Estimated 6 weeks","2–3 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$2,839","Free"
"1632949967-320","https://www.edx.org/search?tab=course","","AP® Psychology - Course
4: How Behavior Works…Schools and Partners: UBCx…Course","https://www.edx.org/course/ap-psychology-course-4-how-behavior-works?index=product&queryID=0943cf96cbee1f81beaaf29e25ea0e4b&position=20","University of British Columbia Logo","Social Sciences Courses","AP® Psychology - Course 4: How Behavior Works","Learn about the theories of motivation and emotions and obtain an in-depth look at intelligence testing and personality development.","Estimated 6 weeks","8–12 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Introductory","MX$1,001","Free"
"1632950601-592","https://www.edx.org/search?tab=course","","Introducción a la teoría
política: conceptos y
grandes pensadores…Schools and Partners: FedericaX…Course","https://www.edx.org/course/introduccion-a-la-teoria-politica-conceptos-y-gran?index=product&queryID=9929f8e8319431aaf203c0cbe18a049a&position=12","Università degli Studi di Napoli Federico II Logo","Social Sciences Courses","Introducción a la teoría política: conceptos y grandes pensadores","En este curso de ciencias politicas conoceras el pensamiento politico de los autores clasicos con especial enfasis sobre como aparecen y evolucionan los conceptos politicos clave.","Estimated 7 weeks","4–6 hours per week","Self-paced","Language:  Español","Video Transcript:  Español","Level:  Introductory","MX$1,205","Free"
"1632951430-951","https://www.edx.org/search?tab=course","","Astronomía Virtual…Schools and Partners: UNCordobaX…Course","https://www.edx.org/course/astronomia-virtual?index=product&queryID=ad47dbf4472c85c4bef290d1aab552fb&position=13","Universidad Nacional de Córdoba Logo","Science Courses","Astronomía Virtual","Se trata de un curso en línea para entusiastas de la Astronomía y las ciencias del espacio, que no requiere de ningún conocimiento académico previo.","Estimated 7 weeks","5–7 hours per week","Self-paced","Language:  Español","Video Transcripts:  English, Español","Level:  Introductory","MX$592","Free"
"1632950046-354","https://www.edx.org/search?tab=course","","Introduction to
psychology of personality…Schools and Partners: FedericaX…Course","https://www.edx.org/course/introduction-to-psychology-of-personality?index=product&queryID=74dc1a7992a6e16d0ec5229bdc3c6d68&position=10","Università degli Studi di Napoli Federico II Logo","Humanities Courses","Introduction to psychology of personality","Study the main themes and methodological aspects of personality psychology, and focus on the role of the cognitive processes involved in the construction of personality","Estimated 7 weeks","6–8 hours per week","Self-paced","Language:  English","Video Transcript:  English","Level:  Intermediate","MX$1,226","Free"
